text,priority,category,is_fake
"Severe wrong side driving observed at River Bank, urgent help needed.",High,Traffic,0
Complaining about unsafe crossing near Bus Stand.,Low,Safety,0
lost property reported by residents of Industrial Area.,Low,General,0
The park maintenance at Underpass is very dangerous.,High,General,0
Complaining about uneven surface near River Bank.,Medium,Roads,0
Urgent attention required for speed breaker issue in City Center.,High,Roads,0
There is a loud music at River Bank.,Low,Noise,0
We are facing bad smell problems in School Zone.,Medium,Sanitation,0
There is a traffic signal broken at Flyover.,Low,Traffic,0
We are facing wrong side driving problems in Market Area.,Low,Traffic,0
There is a illegal parking at Highway 66.,Low,Traffic,0
There is a road blocked at River Bank.,Low,Traffic,0
Complaining about contaminated water near Underpass.,High,Water Supply,0
There is a hanging wires at River Bank.,High,Electricity,0
unlit area reported by residents of MG Road.,Low,Safety,0
We are facing bus late problems in MG Road.,Low,Public Transport,0
Urgent attention required for dirty water in Sector 4.,High,Water Supply,0
Complaining about lost property near Highway 66.,Low,General,0
We are facing transformer spark problems in MG Road.,High,Electricity,0
Please fix the dead animal near Industrial Area.,Medium,Sanitation,0
There is a electric pole fell at Central Park.,High,Electricity,0
The pipe burst at Underpass is very dangerous.,High,Water Supply,0
Complaining about request information near River Bank.,Low,General,0
"Severe stray dogs observed at School Zone, urgent help needed.",High,Safety,0
"Severe wrong side driving observed at Bus Stand, urgent help needed.",High,Traffic,0
Urgent attention required for construction noise in Hospital Road.,High,Noise,0
cheap meds 487,Low,Spam,1
free money 892,Low,Spam,1
There is a low pressure at School Zone.,High,Water Supply,0
Complaining about park maintenance near MG Road.,Low,General,0
The loud music at Suburbs is very dangerous.,High,Noise,0
The park maintenance at MG Road is very dangerous.,High,General,0
Complaining about park maintenance near City Center.,Low,General,0
There is a traffic jam at Flyover.,Low,Traffic,0
We are facing request information problems in Suburbs.,Low,General,0
Urgent attention required for rude conductor in Industrial Area.,High,Public Transport,0
There is a uneven surface at River Bank.,Medium,Roads,0
Complaining about bus stop broken near River Bank.,Low,Public Transport,0
traffic jam reported by residents of Hospital Road.,Low,Traffic,0
We are facing overcrowded bus problems in Underpass.,Low,Public Transport,0
Complaining about unlit area near Sector 4.,Low,Safety,0
There is a stray dogs at Main St.,Low,Safety,0
Complaining about manhole open near School Zone.,Medium,Roads,0
There is a illegal parking at Market Area.,Low,Traffic,0
"Severe wrong side driving observed at City Center, urgent help needed.",High,Traffic,0
Please fix the overflowing dustbin near Bus Stand.,Medium,Sanitation,0
Urgent attention required for stray dogs in Sector 4.,High,Safety,0
There is a hanging wires at River Bank.,High,Electricity,0
There is a factory noise at Highway 66.,Low,Noise,0
Urgent attention required for loud music in Highway 66.,High,Noise,0
"Severe bus stop broken observed at Railway Station, urgent help needed.",High,Public Transport,0
"Severe rude conductor observed at Underpass, urgent help needed.",High,Public Transport,0
We are facing sewage overflow problems in Flyover.,Medium,Sanitation,0
There is a contaminated water at Industrial Area.,High,Water Supply,0
There is a electric pole fell at MG Road.,High,Electricity,0
We are facing low pressure problems in Underpass.,High,Water Supply,0
wrong side driving reported by residents of Main St.,Low,Traffic,0
The loud music at River Bank is very dangerous.,High,Noise,0
Urgent attention required for contaminated water in Railway Station.,High,Water Supply,0
Please fix the road blocked near Highway 66.,Low,Traffic,0
Complaining about uneven surface near River Bank.,Medium,Roads,0
Complaining about clogged drain near Market Area.,Medium,Sanitation,0
Please fix the illegal parking near River Bank.,Low,Traffic,0
"Severe manhole open observed at Suburbs, urgent help needed.",High,Roads,0
There is a late night party at Hospital Road.,Low,Noise,0
The speed breaker issue at Bus Stand is very dangerous.,High,Roads,0
Complaining about no water supply near Flyover.,High,Water Supply,0
Please fix the hanging wires near Gandhi Nagar.,High,Electricity,0
Please fix the traffic jam near Sector 4.,Low,Traffic,0
sign up now 764,Low,Spam,1
"Severe late night party observed at Underpass, urgent help needed.",High,Noise,0
Urgent attention required for suspicious activity in City Center.,High,Safety,0
Urgent attention required for street light off in Bus Stand.,High,Electricity,0
Urgent attention required for wrong side driving in MG Road.,High,Traffic,0
Complaining about uneven surface near City Center.,Medium,Roads,0
Complaining about traffic jam near Sector 4.,Low,Traffic,0
The hanging wires at 5th Avenue is very dangerous.,High,Electricity,0
There is a low pressure at Market Area.,High,Water Supply,0
There is a dead animal at Bus Stand.,Medium,Sanitation,0
The no water supply at School Zone is very dangerous.,High,Water Supply,0
Please fix the wrong side driving near Highway 66.,Low,Traffic,0
Please fix the road blocked near Bus Stand.,Low,Traffic,0
Complaining about bad smell near Hospital Road.,Medium,Sanitation,0
There is a pipe burst at Bus Stand.,High,Water Supply,0
The electric pole fell at City Center is very dangerous.,High,Electricity,0
buy watches 212,Low,Spam,1
Urgent attention required for dirty water in Suburbs.,High,Water Supply,0
"Severe uneven surface observed at Underpass, urgent help needed.",High,Roads,0
The bad smell at Underpass is very dangerous.,High,Sanitation,0
"Severe uneven surface observed at Railway Station, urgent help needed.",High,Roads,0
park maintenance reported by residents of Gandhi Nagar.,Low,General,0
We are facing rude conductor problems in City Center.,Low,Public Transport,0
We are facing uneven surface problems in City Center.,Medium,Roads,0
We are facing pothole problems in River Bank.,Medium,Roads,0
We are facing no water supply problems in Highway 66.,High,Water Supply,0
Urgent attention required for request information in Highway 66.,High,General,0
Complaining about illegal parking near City Center.,Low,Traffic,0
"Severe bad smell observed at Railway Station, urgent help needed.",High,Sanitation,0
Complaining about bus late near School Zone.,Low,Public Transport,0
Please fix the manhole open near Highway 66.,Medium,Roads,0
The dead animal at Hospital Road is very dangerous.,High,Sanitation,0
bad road condition reported by residents of Highway 66.,Medium,Roads,0
Complaining about request information near 5th Avenue.,Low,General,0
Complaining about general query near Central Park.,Low,General,0
The electric pole fell at Suburbs is very dangerous.,High,Electricity,0
Urgent attention required for road blocked in River Bank.,High,Traffic,0
Complaining about broken fence near MG Road.,Low,Safety,0
There is a broken road at School Zone.,Medium,Roads,0
There is a contaminated water at School Zone.,High,Water Supply,0
Please fix the street light off near City Center.,High,Electricity,0
We are facing unsafe crossing problems in Bus Stand.,Low,Safety,0
We are facing speed breaker issue problems in 5th Avenue.,Medium,Roads,0
Complaining about electric pole fell near Sector 4.,High,Electricity,0
The dead animal at Bus Stand is very dangerous.,High,Sanitation,0
Complaining about stray dogs near Bus Stand.,Low,Safety,0
pipe burst reported by residents of Industrial Area.,High,Water Supply,0
Please fix the bus late near Sector 4.,Low,Public Transport,0
"Severe construction noise observed at Main St, urgent help needed.",High,Noise,0
There is a pipe burst at Railway Station.,High,Water Supply,0
The uneven surface at Main St is very dangerous.,High,Roads,0
"Severe construction noise observed at Central Park, urgent help needed.",High,Noise,0
Urgent attention required for bus late in Market Area.,High,Public Transport,0
manhole open reported by residents of Railway Station.,Medium,Roads,0
Please fix the illegal parking near Sector 4.,Low,Traffic,0
"Severe overflowing dustbin observed at Flyover, urgent help needed.",High,Sanitation,0
There is a bus stop broken at 5th Avenue.,Low,Public Transport,0
dating site 532,Low,Spam,1
Please fix the electric pole fell near Underpass.,High,Electricity,0
earn from home 490,Low,Spam,1
Urgent attention required for broken road in City Center.,High,Roads,0
Please fix the general query near Highway 66.,Low,General,0
"Severe unlit area observed at Market Area, urgent help needed.",High,Safety,0
power cut reported by residents of Underpass.,High,Electricity,0
We are facing park maintenance problems in Railway Station.,Low,General,0
The illegal parking at Suburbs is very dangerous.,High,Traffic,0
Please fix the no water supply near Suburbs.,High,Water Supply,0
bus stop broken reported by residents of River Bank.,Low,Public Transport,0
Please fix the late night party near Sector 4.,Low,Noise,0
Urgent attention required for bus late in MG Road.,High,Public Transport,0
"Severe late night party observed at Hospital Road, urgent help needed.",High,Noise,0
"Severe contaminated water observed at Flyover, urgent help needed.",High,Water Supply,0
Urgent attention required for pipe burst in Bus Stand.,High,Water Supply,0
We are facing broken fence problems in Suburbs.,Low,Safety,0
Complaining about request information near Flyover.,Low,General,0
Urgent attention required for bus stop broken in Central Park.,High,Public Transport,0
There is a contaminated water at Highway 66.,High,Water Supply,0
The rude conductor at Sector 4 is very dangerous.,High,Public Transport,0
There is a unlit area at Highway 66.,Low,Safety,0
The road blocked at Gandhi Nagar is very dangerous.,High,Traffic,0
"Severe traffic jam observed at Main St, urgent help needed.",High,Traffic,0
We are facing road blocked problems in River Bank.,Low,Traffic,0
Urgent attention required for road blocked in Railway Station.,High,Traffic,0
traffic signal broken reported by residents of Highway 66.,Low,Traffic,0
We are facing speed breaker issue problems in Central Park.,Medium,Roads,0
lost property reported by residents of School Zone.,Low,General,0
There is a uneven surface at Central Park.,Medium,Roads,0
buy watches 763,Low,Spam,1
Complaining about construction noise near Industrial Area.,Low,Noise,0
The water leakage at Underpass is very dangerous.,High,Water Supply,0
The garbage pile at Market Area is very dangerous.,High,Sanitation,0
The late night party at Railway Station is very dangerous.,High,Noise,0
lost property reported by residents of Main St.,Low,General,0
Urgent attention required for lost property in Suburbs.,High,General,0
"Severe sewage overflow observed at Industrial Area, urgent help needed.",High,Sanitation,0
Please fix the wrong side driving near School Zone.,Low,Traffic,0
The low pressure at Main St is very dangerous.,High,Water Supply,0
The illegal parking at Underpass is very dangerous.,High,Traffic,0
Please fix the loud music near Hospital Road.,Low,Noise,0
Complaining about electric pole fell near Railway Station.,High,Electricity,0
overflowing dustbin reported by residents of Flyover.,Medium,Sanitation,0
Please fix the park maintenance near Gandhi Nagar.,Low,General,0
The loud music at Main St is very dangerous.,High,Noise,0
Please fix the request information near Industrial Area.,Low,General,0
There is a lost property at Main St.,Low,General,0
Complaining about stray dogs near Bus Stand.,Low,Safety,0
Please fix the traffic signal broken near Gandhi Nagar.,Low,Traffic,0
The hanging wires at Railway Station is very dangerous.,High,Electricity,0
"Severe factory noise observed at Gandhi Nagar, urgent help needed.",High,Noise,0
Urgent attention required for construction noise in Market Area.,High,Noise,0
There is a contaminated water at Bus Stand.,High,Water Supply,0
Urgent attention required for lost property in Gandhi Nagar.,High,General,0
"Severe suspicious activity observed at Central Park, urgent help needed.",High,Safety,0
Complaining about broken fence near 5th Avenue.,Low,Safety,0
Urgent attention required for unlit area in Suburbs.,High,Safety,0
Complaining about dirty water near Market Area.,High,Water Supply,0
Urgent attention required for overcrowded bus in Underpass.,High,Public Transport,0
lost property reported by residents of Railway Station.,Low,General,0
The suspicious activity at Bus Stand is very dangerous.,High,Safety,0
Please fix the no water supply near 5th Avenue.,High,Water Supply,0
free money 657,Low,Spam,1
Complaining about stray dogs near School Zone.,Low,Safety,0
unlit area reported by residents of MG Road.,Low,Safety,0
The hanging wires at City Center is very dangerous.,High,Electricity,0
Urgent attention required for manhole open in Central Park.,High,Roads,0
We are facing uneven surface problems in Highway 66.,Medium,Roads,0
There is a construction noise at Flyover.,Low,Noise,0
There is a illegal parking at Main St.,Low,Traffic,0
There is a wrong side driving at Industrial Area.,Low,Traffic,0
Please fix the uneven surface near River Bank.,Medium,Roads,0
Complaining about loud music near Industrial Area.,Low,Noise,0
suspicious activity reported by residents of School Zone.,Low,Safety,0
Urgent attention required for bus late in Gandhi Nagar.,High,Public Transport,0
Urgent attention required for electric pole fell in Main St.,High,Electricity,0
Please fix the lost property near MG Road.,Low,General,0
Urgent attention required for dirty water in Central Park.,High,Water Supply,0
transformer spark reported by residents of Highway 66.,High,Electricity,0
Please fix the electric pole fell near Industrial Area.,High,Electricity,0
We are facing dead animal problems in Main St.,Medium,Sanitation,0
There is a sewage overflow at School Zone.,Medium,Sanitation,0
Please fix the pothole near MG Road.,Medium,Roads,0
Complaining about wrong side driving near Underpass.,Low,Traffic,0
free money 859,Low,Spam,1
free money 298,Low,Spam,1
The electric pole fell at Industrial Area is very dangerous.,High,Electricity,0
Complaining about bus stop broken near Hospital Road.,Low,Public Transport,0
Please fix the bus late near Underpass.,Low,Public Transport,0
The wrong side driving at Flyover is very dangerous.,High,Traffic,0
"Severe construction noise observed at Underpass, urgent help needed.",High,Noise,0
The late night party at Flyover is very dangerous.,High,Noise,0
There is a illegal parking at City Center.,Low,Traffic,0
The bad smell at River Bank is very dangerous.,High,Sanitation,0
Complaining about bus stop broken near Highway 66.,Low,Public Transport,0
The street light off at River Bank is very dangerous.,High,Electricity,0
We are facing contaminated water problems in Railway Station.,High,Water Supply,0
Urgent attention required for illegal parking in Gandhi Nagar.,High,Traffic,0
We are facing contaminated water problems in Hospital Road.,High,Water Supply,0
The unsafe crossing at Sector 4 is very dangerous.,High,Safety,0
We are facing dirty water problems in River Bank.,High,Water Supply,0
The wrong side driving at Underpass is very dangerous.,High,Traffic,0
Please fix the pipe burst near Suburbs.,High,Water Supply,0
We are facing water leakage problems in Highway 66.,High,Water Supply,0
Urgent attention required for road blocked in Sector 4.,High,Traffic,0
transformer spark reported by residents of Flyover.,High,Electricity,0
Complaining about overcrowded bus near Hospital Road.,Low,Public Transport,0
Please fix the unsafe crossing near Industrial Area.,Low,Safety,0
The unlit area at Market Area is very dangerous.,High,Safety,0
"Severe suspicious activity observed at Sector 4, urgent help needed.",High,Safety,0
Urgent attention required for overcrowded bus in Industrial Area.,High,Public Transport,0
Complaining about traffic jam near 5th Avenue.,Low,Traffic,0
"Severe unsafe crossing observed at Central Park, urgent help needed.",High,Safety,0
electric pole fell reported by residents of Central Park.,High,Electricity,0
Complaining about construction noise near MG Road.,Low,Noise,0
"Severe general query observed at Hospital Road, urgent help needed.",High,General,0
unsafe crossing reported by residents of Sector 4.,Low,Safety,0
There is a electric pole fell at Central Park.,High,Electricity,0
wrong side driving reported by residents of City Center.,Low,Traffic,0
We are facing dirty water problems in Railway Station.,High,Water Supply,0
There is a broken fence at River Bank.,Low,Safety,0
Urgent attention required for construction noise in School Zone.,High,Noise,0
bus late reported by residents of Bus Stand.,Low,Public Transport,0
There is a factory noise at Bus Stand.,Low,Noise,0
Urgent attention required for lost property in River Bank.,High,General,0
Please fix the rude conductor near Bus Stand.,Low,Public Transport,0
overflowing dustbin reported by residents of Flyover.,Medium,Sanitation,0
job offer 300,Low,Spam,1
lost property reported by residents of MG Road.,Low,General,0
We are facing no water supply problems in Market Area.,High,Water Supply,0
factory noise reported by residents of Main St.,Low,Noise,0
There is a loud music at Highway 66.,Low,Noise,0
Urgent attention required for uneven surface in Bus Stand.,High,Roads,0
job offer 613,Low,Spam,1
Complaining about contaminated water near 5th Avenue.,High,Water Supply,0
Please fix the loud music near 5th Avenue.,Low,Noise,0
There is a broken fence at Suburbs.,Low,Safety,0
power cut reported by residents of Sector 4.,High,Electricity,0
Urgent attention required for no water supply in 5th Avenue.,High,Water Supply,0
"Severe overcrowded bus observed at Central Park, urgent help needed.",High,Public Transport,0
We are facing power cut problems in 5th Avenue.,High,Electricity,0
Complaining about stray dogs near School Zone.,Low,Safety,0
There is a bus stop broken at Market Area.,Low,Public Transport,0
We are facing street light off problems in MG Road.,High,Electricity,0
Complaining about overflowing dustbin near City Center.,Medium,Sanitation,0
The garbage pile at Sector 4 is very dangerous.,High,Sanitation,0
Urgent attention required for unsafe crossing in City Center.,High,Safety,0
There is a park maintenance at Railway Station.,Low,General,0
crypto investment 734,Low,Spam,1
